symbol,class,tissue_type,TPM,organ,kinase_percentile
AAK1,Light,Adipose - Subcutaneous,2.1265,adipose_tissue,24
AATK,Light,Adipose - Subcutaneous,3.841,adipose_tissue,28.999999999999996
ABL1,Light,Adipose - Subcutaneous,77.755,adipose_tissue,95
ABL2,Light,Adipose - Subcutaneous,12.625,adipose_tissue,50
ABR,Light,Adipose - Subcutaneous,33.055,adipose_tissue,78
ACVR1,Light,Adipose - Subcutaneous,27.43,adipose_tissue,74
ACVR1B,Light,Adipose - Subcutaneous,19.62,adipose_tissue,64
ACVR1C,Light,Adipose - Subcutaneous,10.7,adipose_tissue,46
ACVR2A,Light,Adipose - Subcutaneous,10.795,adipose_tissue,46
ACVR2B,Light,Adipose - Subcutaneous,2.3145,adipose_tissue,24
ACVRL1,Light,Adipose - Subcutaneous,56.875,adipose_tissue,92
ADCK1,Dark,Adipose - Subcutaneous,6.973,adipose_tissue,37
ADCK2,Dark,Adipose - Subcutaneous,18.36,adipose_tissue,62
ADCK5,Dark,Adipose - Subcutaneous,10.001,adipose_tissue,45
ADPGK,Light,Adipose - Subcutaneous,52.86,adipose_tissue,90
AKT1,Light,Adipose - Subcutaneous,61.045,adipose_tissue,93
AKT2,Light,Adipose - Subcutaneous,41.83,adipose_tissue,84
AKT3,Light,Adipose - Subcutaneous,24.815,adipose_tissue,71
ALK,Light,Adipose - Subcutaneous,0.1391,adipose_tissue,7.000000000000001
ALPK1,Light,Adipose - Subcutaneous,9.5655,adipose_tissue,43
ALPK2,Dark,Adipose - Subcutaneous,0.9485,adipose_tissue,18
ALPK3,Dark,Adipose - Subcutaneous,7.476,adipose_tissue,39
AMHR2,Light,Adipose - Subcutaneous,0.17455,adipose_tissue,9
ANKK1,Light,Adipose - Subcutaneous,0.45215,adipose_tissue,13
ARAF,Light,Adipose - Subcutaneous,54.91,adipose_tissue,91
ATM,Light,Adipose - Subcutaneous,9.8315,adipose_tissue,44
ATR,Light,Adipose - Subcutaneous,7.7645,adipose_tissue,40
AURKA,Light,Adipose - Subcutaneous,1.423,adipose_tissue,21
AURKB,Light,Adipose - Subcutaneous,0.9243,adipose_tissue,18
AURKC,Light,Adipose - Subcutaneous,2.621,adipose_tissue,26
AXL,Light,Adipose - Subcutaneous,79.115,adipose_tissue,96
BAZ1A,Light,Adipose - Subcutaneous,21.37,adipose_tissue,66
BAZ1B,Light,Adipose - Subcutaneous,36.59,adipose_tissue,81
BCKDK,Dark,Adipose - Subcutaneous,38.67,adipose_tissue,83
BCR,Light,Adipose - Subcutaneous,23.93,adipose_tissue,69
BLK,Light,Adipose - Subcutaneous,0.18325,adipose_tissue,9
BLVRA,Light,Adipose - Subcutaneous,66.845,adipose_tissue,94
BMP2K,Light,Adipose - Subcutaneous,7.032,adipose_tissue,37
BMPR1A,Light,Adipose - Subcutaneous,9.016,adipose_tissue,42
BMPR1B,Light,Adipose - Subcutaneous,0.7342,adipose_tissue,17
BMPR2,Light,Adipose - Subcutaneous,25.54,adipose_tissue,72
BMX,Light,Adipose - Subcutaneous,12.41,adipose_tissue,50
BRAF,Light,Adipose - Subcutaneous,12.405,adipose_tissue,49
BRD2,Light,Adipose - Subcutaneous,121.3,adipose_tissue,98
BRD3,Light,Adipose - Subcutaneous,15.815,adipose_tissue,56.99999999999999
BRD4,Light,Adipose - Subcutaneous,30.485,adipose_tissue,76
BRDT,Light,Adipose - Subcutaneous,0.0163,adipose_tissue,2
BRSK1,Dark,Adipose - Subcutaneous,1.6085,adipose_tissue,21
BRSK2,Dark,Adipose - Subcutaneous,0.6896,adipose_tissue,16
BTK,Light,Adipose - Subcutaneous,6.556,adipose_tissue,36
BUB1,Light,Adipose - Subcutaneous,0.4082,adipose_tissue,12
BUB1B,Light,Adipose - Subcutaneous,0.47845,adipose_tissue,14.000000000000002
CAMK1,Light,Adipose - Subcutaneous,70.455,adipose_tissue,95
CAMK1D,Dark,Adipose - Subcutaneous,9.7155,adipose_tissue,44
CAMK1G,Dark,Adipose - Subcutaneous,0.099515,adipose_tissue,6
CAMK2A,Light,Adipose - Subcutaneous,0.3176,adipose_tissue,12
CAMK2B,Light,Adipose - Subcutaneous,0.2962,adipose_tissue,11
CAMK2D,Light,Adipose - Subcutaneous,32.365,adipose_tissue,78
CAMK2G,Light,Adipose - Subcutaneous,23.295,adipose_tissue,68
CAMK4,Light,Adipose - Subcutaneous,0.2593,adipose_tissue,11
CAMKK1,Dark,Adipose - Subcutaneous,8.755,adipose_tissue,41
CAMKK2,Dark,Adipose - Subcutaneous,32.145,adipose_tissue,78
CAMKV,Dark,Adipose - Subcutaneous,0.04217,adipose_tissue,3
CASK,Light,Adipose - Subcutaneous,6.029,adipose_tissue,34
CDC7,Light,Adipose - Subcutaneous,2.645,adipose_tissue,26
CDC42BPA,Dark,Adipose - Subcutaneous,17.365,adipose_tissue,61
CDC42BPB,Dark,Adipose - Subcutaneous,68.295,adipose_tissue,94
CDC42BPG,Dark,Adipose - Subcutaneous,0.53905,adipose_tissue,14.000000000000002
CDK1,Light,Adipose - Subcutaneous,4.017,adipose_tissue,28.999999999999996
CDK2,Light,Adipose - Subcutaneous,18.72,adipose_tissue,63
CDK3,Light,Adipose - Subcutaneous,20.345,adipose_tissue,65
CDK4,Light,Adipose - Subcutaneous,64.79,adipose_tissue,93
CDK5,Light,Adipose - Subcutaneous,8.9865,adipose_tissue,42
CDK6,Light,Adipose - Subcutaneous,5.4015,adipose_tissue,32
CDK7,Light,Adipose - Subcutaneous,19.08,adipose_tissue,64
CDK8,Light,Adipose - Subcutaneous,8.8265,adipose_tissue,42
CDK9,Light,Adipose - Subcutaneous,77.9,adipose_tissue,95
CDK10,Dark,Adipose - Subcutaneous,24.96,adipose_tissue,71
CDK11A,Dark,Adipose - Subcutaneous,27.7,adipose_tissue,74
CDK11B,Dark,Adipose - Subcutaneous,24.28,adipose_tissue,70
CDK12,Dark,Adipose - Subcutaneous,13.8,adipose_tissue,52
CDK13,Dark,Adipose - Subcutaneous,21.2,adipose_tissue,66
CDK14,Dark,Adipose - Subcutaneous,11.13,adipose_tissue,47
CDK15,Dark,Adipose - Subcutaneous,0.8824,adipose_tissue,17
CDK16,Dark,Adipose - Subcutaneous,42.28,adipose_tissue,84
CDK17,Dark,Adipose - Subcutaneous,27.27,adipose_tissue,73
CDK18,Dark,Adipose - Subcutaneous,3.4245,adipose_tissue,28.000000000000004
CDK19,Dark,Adipose - Subcutaneous,8.5265,adipose_tissue,41
CDK20,Dark,Adipose - Subcutaneous,5.0425,adipose_tissue,32
CDKL1,Dark,Adipose - Subcutaneous,3.7845,adipose_tissue,28.999999999999996
CDKL2,Dark,Adipose - Subcutaneous,0.054635,adipose_tissue,4
CDKL3,Dark,Adipose - Subcutaneous,1.801,adipose_tissue,22
CDKL4,Dark,Adipose - Subcutaneous,0.109,adipose_tissue,6
CDKL5,Dark,Adipose - Subcutaneous,1.4015,adipose_tissue,20
CHEK1,Light,Adipose - Subcutaneous,1.981,adipose_tissue,23
CHEK2,Light,Adipose - Subcutaneous,2.707,adipose_tissue,26
CHUK,Light,Adipose - Subcutaneous,10.155,adipose_tissue,45
CIT,Light,Adipose - Subcutaneous,1.7425,adipose_tissue,22
CKB,Light,Adipose - Subcutaneous,152.8,adipose_tissue,99
CKM,Light,Adipose - Subcutaneous,5.8735,adipose_tissue,34
