Number_of_hits,Total_entries,Percentage_hits,Reagents,Entrez_Gene_ID,Gene,Author_provided_names_IDs
2,16,12.5,1,7652,ZNF99,"126502, 148213, 168374, LOC126502, XM_065124, ZNF681, ZNF92, ZNF99"
2,7,28.6,2,440556,LINC00982,"374939, MGC35434, NM_198543"
2,3,66.7,1,439965,FAM35DP,FAM35B2
2,16,12.5,2,339263,C17orf51,"C17orf51, LOC339263, XM_378661"
2,21,9.5,4,282996,RBM20,"RBM20, XM_291671"
2,26,7.7,3,143241,DYDC1,"DYDC1, ENSG00000170788, LOC143241, NM_138812"
2,25,8,2,81309,OR4C15,"ENSG00000181939, NM_001001920, OR4C15"
2,22,9.1,2,79982,DNAJB14,"DNAJB14, ENSG00000164031, FLJ14281, NM_024920"
2,29,6.9,2,51751,HIGD1B,"CLST11240, ENSG00000131097, HIGD1B, NM_016438"
2,21,9.5,1,51025,PAM16,"ENSG00000183596, MAGMAS, Magmas, NM_016069, PAM16"
2,29,6.9,3,79823,CAMKMT,"C2orf34, ENSG00000143919, FLJ23451, NM_024766"
2,3,66.7,1,,,LOC728379
2,13,15.4,2,729747,ZNF878,"342972, LOC342972, LOC729747, XM_292813, ZNF878"
2,22,9.1,5,23379,ICE1,"AC012607.8, ENSG00000164151, KIAA0947, XM_029101"
2,29,6.9,1,79611,ACSS3,"ACSS3, ENSG00000111058, FLJ21963, NM_024560"
2,33,6.1,2,3849,KRT2,"KRT2, KRT2A, NFKBIE, NM_000423"
2,10,20,1,,,"LOC139542, LOC347487, XM_066752, hCG_1660138"
2,14,14.3,1,283446,MYO1H,"ENSG00000174527, FLJ37587, MYO1H, NM_173597"
2,18,11.1,2,100144596,LINC00029,"63930, C20ORF51, C20orf51, ENSG00000125514, LOC63930, NM_022099, c20orf51"
2,10,20,1,128372,OR6N1,"ENSG00000197403, NM_001005185, OR6N1"
2,6,33.3,1,,,NPR1
2,7,28.6,1,643905,PRR21,LOC643905
2,3,66.7,2,401470,RPS26P10,RPS26P10
