Gene Accession	Gene Symbol	Human gene	Family	Availability	pigmentation phenotype	normal phenotype	nervous system phenotype	renal/urinary system phenotype	muscle phenotype	liver/biliary system phenotype	limbs/digits/tail phenotype	adipose tissue phenotype	homeostasis/metabolism phenotype	hearing/vestibular/ear phenotype	growth/size/body region phenotype	endocrine/exocrine gland phenotype	embryo phenotype	digestive/alimentary phenotype	craniofacial phenotype	cellular phenotype	cardiovascular system phenotype	behavior/neurological phenotype	immune system phenotype	respiratory system phenotype	reproductive system phenotype	skeleton phenotype	vision/eye phenotype	taste/olfaction phenotype	hematopoietic system phenotype	mortality/aging	integument phenotype
MGI:1860085	Stk19	STK19	Enzyme	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1277167	Adgra1	ADGRA1	GPCR	ES Cells|Mice em1|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	Deviance Significant	Data analysed, no significant call
MGI:1917943	Adgra2	ADGRA3	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1925810	Adgra3	ADGRA2	GPCR		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1933736	Adgrb1	ADGRB1	GPCR	Mice tm2a|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Deviance Significant	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call
MGI:2451244	Adgrb2	ADGRB2	GPCR	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Could not analyse	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call
MGI:2441837	Adgrb3	ADGRB3	GPCR	Mice em1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Deviance Significant	Data analysed, no significant call
MGI:3041203	Adgrd1	ADGRD1	GPCR	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Deviance Significant	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:106912	Adgre1	ADGRE1	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1196464	Adgre4	ADGRE4P	GPCR	ES Cells|Mice tm1b|phenotype data available	No data	No data	No data	No data	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data
MGI:1347095	Adgre5	ADGRE5	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1924846	Adgrf1	ADGRF1	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2182728	Adgrf2	ADGRF2	GPCR	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2685887	Adgrf3	ADGRF3	GPCR	Mice em1|phenotype data available	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1925499	Adgrf4	ADGRF4	GPCR	ES Cells|Mice tm1a|Mice tm2a|Mice tm2b|phenotype data available	Could not analyse	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	No data	No data	No data	Could not analyse	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call
