"Gene ID","UNC Priority Designation","SUM159","SUM229neg","SUM229pos","HCC1419","HCC1428","HCC1806","HCC1954","MCF7","MDA231","MDA361","MDA468","SKBR3","BT474","T47D","ZR751","overall_average"
"ADCK1","Priority 6",0,25200000,34320000,279450000,0,0,0,210200000,0,214750000,62110000,68480000,169486666,479600000,81640000,101577291
"ADCK2","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPK2","Priority 6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPK3","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRSK1","Priority 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRSK2","Priority 6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMK1G","Priority 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMKK1","Priority 7",94095000,0,0,77600000,0,79400000,0,0,0,0,0,121206666,4203333,0,0,23531562
"CAMKK2","Priority 3",77150000,40660000,29090000,35360000,19785000,0,10975000,0,23910000,134170000,26730000,0,64013333,47255000,13260000,33883958
"CAMKV","Priority 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDC42BPG","Priority 7",0,0,0,190150000,12185000,0,37500000,97050000,0,35645000,55130000,17903333,34726666,316250000,36360000,52817812
"CDK12","Priority 1",0,0,0,0,0,699660000,1617500000,0,0,0,0,0,0,0,0,0
"CDK15","Priority 6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK19","Priority 3",177100000,0,0,289100000,0,24495000,0,392700000,100315000,48575000,218350000,149800000,111196666,0,0,94476979
"CDK20","Priority 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKL1","Priority 6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKL2","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKL3","Priority 4",0,0,0,0,0,0,207050000,0,0,0,0,0,0,0,0,12940625
"CDKL4","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLK3","Priority 7",155465000,50300000,95950000,0,0,41020000,0,96650000,26710000,0,56005000,74533333,27290000,197350000,24825000,52881145
"COQ8B","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSNK1A1L","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSNK1G2","Priority 7",758650000,759950000,940885000,1541000000,600650000,524100000,98400000,0,692400000,565700000,491450000,198513333,416100000,0,418850000,945424895
"CSNK2A3","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCLK3","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DSTYK","Priority 1",0,0,0,0,0,0,0,0,0,0,11395000,0,0,0,0,712187
"DYRK4","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERN2","Priority 5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HIPK1","Priority 3",15670000,316250000,0,0,0,0,0,0,42865000,0,0,0,0,0,0,270580312
"HIPK3","Priority 7",15720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982500
"HIPK4","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ICK","Priority 3",0,0,0,0,0,0,0,0,0,0,0,1510666666,0,0,0,1713520833
"LMTK2","Priority 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTK","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAP3K10","Priority 6",0,0,0,0,0,0,0,320700000,0,0,0,0,0,288700000,0,38087500
"MAP3K15","Priority 4",0,0,0,0,0,0,41335000,0,25950000,0,47455000,0,0,0,0,7171250
"MAP3K21","Priority 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAPK15","Priority 4",0,0,0,0,0,0,0,0,0,0,0,0,0,1778500000,0,111156250
"MAPK4","Priority 4",347800000,0,0,216700000,0,0,0,199000000,0,0,0,0,0,0,108250000,54484375
"MARK1","Priority 2",1074100000,744515000,1083500000,0,808950000,1172050000,623800000,0,599750000,852800000,701800000,744600000,1392666666,0,617650000,1392433229
"MAST4","Priority 7",0,0,1987000000,0,0,0,0,0,1117000000,0,0,0,0,0,0,194000000
"MKNK1","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
