symbol,tracer_id,concentration,synapse_link
CDK10,7281,0.25,https://www.synapse.org/#!Synapse:syn18435660
CDK11a,7281,0.125,https://www.synapse.org/#!Synapse:syn18435664
CDK11B,7281,0.125,https://www.synapse.org/#!Synapse:syn18435655
CDK12,7281,0.5,https://www.synapse.org/#!Synapse:syn18435662
CDK13,7281,0.5,https://www.synapse.org/#!Synapse:syn18435661
CDK14,7281,0.125,https://www.synapse.org/#!Synapse:syn18435663
CDK16,7281,0.125,https://www.synapse.org/#!Synapse:syn18435667
CDK17,7281,0.125,https://www.synapse.org/#!Synapse:syn18435666
CDK18,7281,0.125,https://www.synapse.org/#!Synapse:syn18435665
CLK4,K-5,0.5,https://www.synapse.org/#!Synapse:syn18435654
CSNK2A2,K-5,1,https://www.synapse.org/#!Synapse:syn18435653
DYRK2,K-5,1,https://www.synapse.org/#!Synapse:syn18435651
LTK,K-5,1,https://www.synapse.org/#!Synapse:syn18435650
BRSK2,K-5,1,https://www.synapse.org/#!Synapse:syn18435656
CDK15,7281,0.063,https://www.synapse.org/#!Synapse:syn18435659
CDK20,K-9/7520,0.5,https://www.synapse.org/#!Synapse:syn18435640
CDKL1,6908,0.25,https://www.synapse.org/#!Synapse:syn18435658
CDKL2,6908,0.25,https://www.synapse.org/#!Synapse:syn18435657
CDKL3,6908,0.25,https://www.synapse.org/#!Synapse:syn18435646
CDKL5,6908,0.25,https://www.synapse.org/#!Synapse:syn18435645
CSNK1G2,K-5,1,https://www.synapse.org/#!Synapse:syn18435639
DYRK1B,K-5,1,https://www.synapse.org/#!Synapse:syn18435652
MKNK2,K-10 7600,0.5,https://www.synapse.org/#!Synapse:syn18435649
NEK3,K-5,1,https://www.synapse.org/#!Synapse:syn18435643
NEK9,K-5,1,https://www.synapse.org/#!Synapse:syn18435642
RIOK2,K-5,1,https://www.synapse.org/#!Synapse:syn18435647
STK33,K-5,1,https://www.synapse.org/#!Synapse:syn18435638
PAK7,K-5,1,https://www.synapse.org/#!Synapse:syn18435641
PKN3,K-5,1,https://www.synapse.org/#!Synapse:syn18435648
STK17B,7227,0.25,https://www.synapse.org/#!Synapse:syn18435644
CDK19,8/7235,0.063,https://www.synapse.org/#!Synapse:syn20689588
DCLK3,10-7600,0.5,https://www.synapse.org/#!Synapse:syn20689587
HIPK1,10-7600,0.5,https://www.synapse.org/#!Synapse:syn20689586
HIPK3,10-7600,0.5,https://www.synapse.org/#!Synapse:syn20689585
HIPK4,10-7600,0.5,https://www.synapse.org/#!Synapse:syn20689584
MAPK4,K-5,1,https://www.synapse.org/#!Synapse:syn20689583
MARK4,K-5,1,https://www.synapse.org/#!Synapse:syn20689582
NEK4,10-7600,0.5,https://www.synapse.org/#!Synapse:syn20689580
NEK11,10-7600,0.5,https://www.synapse.org/#!Synapse:syn20689581
CAMK1D,9-7520,0.5,https://www.synapse.org/#!Synapse:syn20715311
ICK,12-7281,0.25,https://www.synapse.org/#!Synapse:syn20715313
MAP3K10,K-5,1,https://www.synapse.org/#!Synapse:syn20715315
MARK3,10-7600,0.5,https://www.synapse.org/#!Synapse:syn20715316
NEK5,10-7600,0.0625,https://www.synapse.org/#!Synapse:syn20715309
PHKG1,K-5,1,https://www.synapse.org/#!Synapse:syn20715295
STK3,10-7600,1,https://www.synapse.org/#!Synapse:syn20715294
STK32A,9-7520,0.5,https://www.synapse.org/#!Synapse:syn20715293
STK32B,K-5,0.5,https://www.synapse.org/#!Synapse:syn20715292
STK38L,10-7600,0.5,https://www.synapse.org/#!Synapse:syn20715291
DYRK3,K-5,1,https://www.synapse.org/#!Synapse:syn21519482
ERN2,10-7600,0.5,https://www.synapse.org/#!Synapse:syn21519483
MAP3K21,10-7600,0.5,https://www.synapse.org/#!Synapse:syn21519484
COQ8B,10-7600,0.5,https://www.synapse.org/#!Synapse:syn21519486
CSNK1A1L,10-7600,0.5,https://www.synapse.org/#!Synapse:syn21519487
DSTYK,10-7600,0.5,https://www.synapse.org/#!Synapse:syn21519488
MAST3,10-7600,0.5,https://www.synapse.org/#!Synapse:syn21519489
MAST4,10-7600,0.5,https://www.synapse.org/#!Synapse:syn21519490
PHKG2,10-7600,1,https://www.synapse.org/#!Synapse:syn21519491
SBK3,K-5,1,https://www.synapse.org/#!Synapse:syn21519492
WEE2,K-5,0.5,https://www.synapse.org/#!Synapse:syn21519493
NUAK2,10-7600,0.5,https://www.synapse.org/#!Synapse:syn21519494
PKMYT1,K-5,1,https://www.synapse.org/#!Synapse:syn21519495
PRKACB,10-7600,0.5,https://www.synapse.org/#!Synapse:syn21519496
STK17A,10-7600,0.5,https://www.synapse.org/#!Synapse:syn21519497
TLK1,10-7600,0.5,https://www.synapse.org/#!Synapse:syn21519498
TLK2,10-7600,0.5,https://www.synapse.org/#!Synapse:syn21519499
