ADCK1,CDK10,CDKL5,DYRK4,MAPK15,NEK9,PIK3C2B,PSKH2,STK3,TESK1,WNK2
ADCK2,CDK11A,CLK3,EEF2K,MARK1,NEK10,PIK3C2G,PXK,STK17A,TESK2,WNK3
ADCK5,CDK11B,CLK4,ERN2,MARK3,NEK11,PIP4K2C,RIOK1,STK17B,TLK1,
ALPK2,CDK12,COQ8A,HIPK1,MARK4,NIM1K,PIP5K1A,RIOK2,STK19,TLK2,
ALPK3,CDK13,COQ8B,HIPK3,MAST2,NRBP2,PIP5K1B,RIOK3,STK31,TP53RK,
BCKDK,CDK14,CSNK1A1L,HIPK4,MAST3,NRK,PIP5K1C,RNASEL,STK32A,TSSK1B,
BRSK1,CDK15,CSNK1G1,ICK,MAST4,NUAK2,PKMYT1,RPS6KC1,STK32B,TSSK2,
BRSK2,CDK16,CSNK1G2,LMTK2,MKNK1,OBSCN,PKN3,RPS6KL1,STK32C,TSSK3,
CAMK1D,CDK17,CSNK1G3,LMTK3,MKNK2,PAK3,PNCK,RSKR,STK33,TSSK4,
CAMK1G,CDK18,CSNK2A2,LRRK1,NEK1,PAK5,POMK,SBK1,STK36,TSSK6,
CAMKK1,CDK19,CSNK2A3,LTK,NEK3,PAK6,PRAG1,SBK2,STK38L,TTBK1,
CAMKK2,CDK20,DCLK3,MAP3K10,NEK4,PAN3,PRKACB,SBK3,STK40,TTBK2,
CAMKV,CDKL1,DSTYK,MAP3K14,NEK5,PDIK1L,PRKACG,SCYL1,STKLD1,ULK4,
CDC42BPA,CDKL2,DYRK1B,MAP3K15,NEK6,PHKG1,PRKCQ,SCYL2,TAOK1,VRK2,
CDC42BPB,CDKL3,DYRK2,MAP3K21,NEK7,PHKG2,PRPF4B,SCYL3,TAOK2,VRK3,
CDC42BPG,CDKL4,DYRK3,MAPK4,NEK8,PI4KA,PSKH1,SRPK3,TBCK,WEE2,
