,ID,Plasmid,Gene/Insert,Vector Type,Publication
,,,,,
,135241,p667-UBC-GFP-V5-TurboID_IDG-K,GFP-V5-TurboID,"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135237,p667-UBC-hcRed-V5-miniTurbo_IDG-K,hcRed-V5-miniTurbo,"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135238,p667-UBC-hcRed-V5-TurboID_IDG-K,hcRed-V5-TurboID,"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135239,p667-UBC-hcRed-V5_IDG-K,hcRed-V5,"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135240,p667-UBC-GFP-V5-miniTurbo_IDG-K,GFP-V5-miniTurbo,"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135242,p667-UBC-GFP-V5_IDG-K,GFP-V5,"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135243,p667-UBC-CDK12-V5-miniTurbo_IDG-K,CDK12-V5-miniTurbo (CDK12 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135244,p667-UBC-CDK12-V5-TurboID_IDG-K,CDK12-V5-TurboID (CDK12 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135245,p667-UBC-CDK12-V5_IDG-K,CDK12-V5 (CDK12 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135246,p667-UBC-PKMYT1-V5-miniTurbo_IDG-K,PKMYT1-V5-miniTurbo (PKMYT1 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135247,p667-UBC-PKMYT1-V5-TurboID_IDG-K,PKMYT1-V5-TurboID (PKMYT1 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135248,p667-UBC-PKMYT1-V5_IDG-K,PKMYT1-V5 (PKMYT1 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135249,p667-UBC-TLK2-V5-miniTurbo_IDG-K,TLK2-V5-miniTurbo (TLK2 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135250,p667-UBC-TLK2-V5-TurboID_IDG-K,TLK2-V5-TurboID (TLK2 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135251,p667-UBC-TLK2-V5_IDG-K,TLK2-V5 (TLK2 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135252,p667-UBC-BRSK2-V5-miniTurbo_IDG-K,BRSK2-V5-miniTurbo (BRSK2 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135253,p667-UBC-BRSK2-V5-TurboID_IDG-K,BRSK2-V5-TurboID (BRSK2 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135254,p667-UBC-BRSK2-V5_IDG-K,BRSK2-V5 (BRSK2 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135255,p667-UBC-AAK1-V5-miniTurbo_IDG-K,AAK1-V5-miniTurbo (AAK1 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135256,p667-UBC-AAK1-V5-TurboID_IDG-K,AAK1-V5-TurboID (AAK1 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
,135257,p667-UBC-AAK1-V5_IDG-K,AAK1-V5 (AAK1 Human),"Mammalian Expression, Lentiviral",Major lab plasmids for proteomics-based protein-interaction and protein-proximity network generation (unpublished)
