"Kinase or Kinase
Complex Name",Gene Name,Official Full Name,Also Known As,NCBI Gene ID,Vector Catalog #,Vector Name,"Recommended ADH
Format App Note","Recommended NBS
Format App Note"
AAK1,AAK1,AP2 associated kinase 1,-,22848,NV1001,NanoLuc®-AAK1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
ABL1,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase","ABL, JTK7, p150, c-ABL, v-abl, c-ABL1, bcr/ abl",25,NV1011,NanoLuc®-ABL1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
ABL1 (E255K),ABL1,"c-abl oncogene 1, receptor tyrosine kinase","ABL, JTK7, p150, c-ABL, v-abl, bcr/ abl, ABL1",25,NV2251,NanoLuc®-ABL1(E255K) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4",
ABL1 (F317I),ABL1,"c-abl oncogene 1, receptor tyrosine kinase","ABL, JTK7, p150, c-ABL, v-abl, bcr/ abl, ABL1",25,NV2261,NanoLuc®-ABL1(F317I) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4",
ABL1 (F317L),ABL1,"c-abl oncogene 1, receptor tyrosine kinase","ABL, JTK7, p150, c-ABL, v-abl, bcr/ abl, ABL1",25,NV2271,NanoLuc®-ABL1(F317L) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4",
ABL1 (H396P),ABL1,"c-abl oncogene 1, receptor tyrosine kinase","ABL, JTK7, p150, c-ABL, v-abl, bcr/ abl, ABL1",25,NV2281,NanoLuc®-ABL1(H396P) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4",
ABL1 (M351T),ABL1,"c-abl oncogene 1, receptor tyrosine kinase","ABL, JTK7, p150, c-ABL, v-abl, bcr/ abl, ABL1",25,NV2291,NanoLuc®-ABL1(M351T) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4",
ABL1 (Q252H),ABL1,"c-abl oncogene 1, receptor tyrosine kinase","ABL, JTK7, p150, c-ABL, v-abl, bcr/ abl, ABL1",25,NV2301,NanoLuc®-ABL1(Q252H) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4",
ABL1 (T315I),ABL1,"c-abl oncogene 1, receptor tyrosine kinase","ABL, JTK7, p150, c-ABL, v-abl, bcr/ abl, ABL1",25,NV2321,NanoLuc®-ABL1(T315I) Fusion Vector,,"NanoBRET™ TE Intracellular Kinase Assay, K-5"
ABL1 (Y253F),ABL1,"c-abl oncogene 1, receptor tyrosine kinase","ABL, JTK7, p150, c-ABL, v-abl, bcr/ abl, ABL1",25,NV2311,NanoLuc®-ABL1(Y253F) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4",
ABL2,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase","ABLL, ARG",27,NV2331,NanoLuc®-ABL2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4",
ACVR1,ACVR1,activin A receptor type 1,"ACTRI, ACVR1A, ACVRLK2, ALK2, FOP, SKR1, TSRI",90,NV2341,ACVR1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-11",
